Estacion: RUTA PROVINCIAL Nº 157 - ATAHONA,,,,
Parametro: Aforos,,,,
,,,,
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
15/11/2010 10:20:00 a.m.,"1,48","0,43","0,003","0,008"
24/11/2010 12:10:00 p.m.,"1,975","13,059","2,078","3,66"
01/12/2010 11:35:00 a.m.,"1,82","8,424","0,295","0,826"
06/12/2010 11:20:00 a.m.,"1,81","9,188","1,346","1,235"
09/12/2010 10:40:00 a.m.,"1,74","7,089","0,397","0,9"
13/12/2010 10:40:00 a.m.,"1,67","4,087","0,038","0,107"
16/12/2010 12:40:00 p.m.,"1,71","5,481","0,119","0,258"
20/12/2010 10:20:00 a.m.,"1,61","2,753","0,073","0,11"
23/12/2010 12:00:00 p.m.,"1,6","2,638","0,048","0,148"
28/12/2010 11:30:00 a.m.,"1,99","14,222","1,554","2,172"
03/01/2011 11:40:00 a.m.,"1,91","19,127","0,862","1,869"
05/01/2011 11:45:00 a.m.,"1,88","10,35","0,877","0,979"
10/01/2011 12:50:00 p.m.,"3,29","212,747","14,711","185,522"
14/01/2011 11:50:00 a.m.,"2,01","15,232","0,317","1,436"
18/01/2011 12:10:00 p.m.,"1,92","11,06","0,364","1,068"
24/01/2011 12:15:00 p.m.,"2,215","23,685","1,806","2,929"
26/01/2011 12:20:00 p.m.,"2,09","21,494","1,055","0,9"
28/01/2011 12:55:00 p.m.,"2,55","42,346","21,659","13,076"
01/02/2011 04:30:00 p.m.,"2,98","110,2","27,302","188,766"
04/02/2011 12:40:00 p.m.,"2,53","41,06","6,28","14,672"
07/02/2011 01:40:00 p.m.,"2,685","53,108","64,298","92,371"
11/02/2011 12:35:00 p.m.,"2,75","59,026","31,09","38,554"
14/02/2011 12:20:00 p.m.,"2,52","33,218","2,099","6,831"
17/02/2011 11:30:00 a.m.,"2,48","26,478","3,343","3,323"
21/02/2011 01:00:00 p.m.,"3,07","148,803","67,026","166,179"
24/02/2011 11:20:00 a.m.,"3,42","239,849","17,85","59,854"
02/03/2011 12:25:00 p.m.,"2,49","49,863","4,199","4,249"
04/03/2011 11:50:00 a.m.,"2,44","44,588","4,042","3,145"
09/03/2011 01:00:00 p.m.,"2,88","131,446","22,498","46,905"
14/03/2011 12:40:00 p.m.,"2,48","47,474","2,446","6,274"
18/03/2011 12:00:00 p.m.,"2,25","53,192","7,43","4,141"
21/03/2011 12:20:00 p.m.,"2,24","64,098","12,312","6,294"
23/03/2011 11:50:00 a.m.,"2,14","50,961","4,888","4,572"
28/03/2011 12:10:00 p.m.,"2,51","71,057","1,718","6,543"
04/04/2011 12:10:00 p.m.,"2,12","40,121","1,288","0,883"
11/04/2011 12:35:00 p.m.,"3,47","186,752","88,375","90,047"
20/04/2011 12:10:00 p.m.,"2,06","22,67","2,287","1,178"
25/04/2011 12:25:00 p.m.,"1,94","15,905","0,599","0,597"
03/05/2011 12:10:00 p.m.,"1,88","14,663","0,529","0,148"
10/06/2011 12:40:00 p.m.,"1,78","9,228","0,38","0,182"
05/07/2011 12:30:00 p.m.,"1,75","7,345","1,295","1,194"
08/08/2011 11:30:00 a.m.,"1,72","5,259","0,643",592
06/09/2011 12:30:00 p.m.,"1,66","4,231","0,114","0,618"
06/10/2011 12:30:00 p.m.,"1,68","4,737","0,197","1,707"
25/10/2011 01:40:00 p.m.,"1,88","12,079","1,233","1,86"
01/11/2011 12:20:00 p.m.,"1,64","3,761","0,048","0,09"
08/11/2011 12:05:00 p.m.,"1,57","2,146","0,018","0,03"
17/11/2011 11:20:00 a.m.,"1,89","13,74","0,827","1,405"
24/11/2011 11:40:00 a.m.,"1,73","6,128","0,181","0,364"
01/12/2011 12:30:00 p.m.,"2,65","49,272","0,724","2,64"
05/12/2011 11:40:00 a.m.,"1,99","16,402","2,61","5,329"
09/12/2011 10:30:00 a.m.,"2,86","59,924","6,15","47,727"
12/12/2011 12:50:00 p.m.,"2,02","22,336","1,168","2,423"
