Estacion: Ruta Provincial Nº 157 - rio Chico,,,,
Parametro: Aforos,,,,
,water level,Discharge,Coarse flow ,Fine flow
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
03/01/2011 12:40:00 p.m.,"1,17","5,929","0,111","0,507"
05/01/2011 01:10:00 p.m.,"1,145","6,207","0,183","0,296"
10/01/2011 04:00:00 p.m.,"1,9","60,954","2,202","270,436"
14/01/2011 01:40:00 p.m.,"1,26","9,75","0,766","1,737"
18/01/2011 03:20:00 p.m.,"1,16","6,407","0,109","0,749"
24/01/2011 03:20:00 p.m.,"1,33","12,79","1,837","23,811"
26/01/2011 03:30:00 p.m.,"1,39","16,062","1,858","2,66"
28/01/2011 04:00:00 p.m.,"2,135","98,517","11,952","74,726"
01/02/2011 11:30:00 a.m.,"3,32","152,816","36,215","833,739"
04/02/2011 03:20:00 p.m.,"1,8","58,987","4,11","21,874"
07/02/2011 04:40:00 p.m.,2,"72,355","23,679","121,613"
11/02/2011 03:20:00 p.m.,"1,99","69,399","3,194","27,836"
14/02/2011 03:00:00 p.m.,"1,68","41,51","3,104","14,309"
17/02/2011 02:20:00 p.m.,"1,76","47,04","5,625","16,605"
21/02/2011 04:00:00 p.m.,"2,015","71,468","19,03","72,153"
24/02/2011 02:00:00 p.m.,"1,73","48,669","11,5","16,569"
02/03/2011 10:30:00 a.m.,"2,1","74,149","5,602","16,639"
04/03/2011 03:40:00 p.m.,"1,77","51,505","7,783","15,404"
09/03/2011 04:20:00 p.m.,"1,69","44,614","14,929","21,639"
14/03/2011 04:20:00 p.m.,"1,64","46,573","13,194","10,311"
18/03/2011 10:15:00 a.m.,"1,42","34,073","1,973","4,294"
21/03/2011 03:30:00 p.m.,"1,51","44,456","6,882","11,936"
23/03/2011 03:20:00 p.m.,"1,37","32,901","3,721","5,888"
28/03/2011 03:30:00 p.m.,"1,7","59,756","11,609","27,567"
04/04/2011 03:30:00 p.m.,"1,39","32,94","2,397","4,693"
11/04/2011 04:00:00 p.m.,"1,71","51,356","3,979","12,301"
20/04/2011 03:00:00 p.m.,"1,3","32,353","3,157","3,749"
25/04/2011 03:30:00 p.m.,"1,21","23,192","0,617","1,426"
03/05/2011 03:30:00 p.m.,"1,16","20,246","0,719","1,426"
10/06/2011 04:10:00 p.m.,"1,08","13,538","0,369","0,666"
05/07/2011 10:55:00 a.m.,"1,03","11,056","0,279","0,363"
08/08/2011 10:20:00 a.m.,"0,98","7,414","0,061","0,121"
06/09/2011 11:15:00 a.m.,"0,91","4,861","0,055","0,095"
06/10/2011 02:10:00 p.m.,"0,93","5,626","0,057","0,216"
25/10/2011 03:20:00 p.m.,"1,17","18,178","2,243","3,162"
01/11/2011 01:50:00 p.m.,"0,96","6,756","0,255","0,281"
08/11/2011 02:40:00 p.m.,"0,9",5,"0,103","0,15"
17/11/2011 01:00:00 p.m.,"1,03","10,987","0,198","1,248"
24/11/2011 02:00:00 p.m.,"0,97","7,084","0,142","0,56"
01/12/2011 03:15:00 p.m.,"1,44","35,125","0,584","6,721"
05/12/2011 01:50:00 p.m.,1,"9,668","0,377","6,863"
09/12/2011 02:30:00 p.m.,"1,3","19,94","1,149","226,314"
12/12/2011 04:40:00 p.m.,"1,08","7,748","0,427","2,524"
14/12/2011 04:30:00 p.m.,"1,07","7,196","0,135","3,413"
16/12/2011 04:30:00 p.m.,"1,02","5,947","0,075","1,134"
19/12/2011 05:00:00 p.m.,1,"5,148","0,099","0,896"
22/12/2011 04:50:00 p.m.,"0,94","3,79","0,051","0,532"
04/01/2012 04:50:00 p.m.,"0,98","4,662","0,075","1,08"
09/01/2012 04:30:00 p.m.,"1,09","7,316","0,379","4,235"
13/01/2012 04:20:00 p.m.,"1,19","13,217","0,491","11,182"
16/01/2012 03:40:00 p.m.,"1,1","8,652","0,119","1,682"
18/01/2012 04:00:00 p.m.,1,"5,074","0,068","1,065"
23/01/2012 03:10:00 p.m.,"1,12","9,538","0,426","3,92"
27/01/2012 03:30:00 p.m.,"1,02","5,644","0,087","0,807"
30/01/2012 03:20:00 p.m.,1,"5,116","0,227","2,022"
01/02/2012 06:10:00 p.m.,"1,31","19,712","0,638","4,971"
06/02/2012 04:40:00 p.m.,"1,14","9,674","0,315","2,255"
10/02/2012 05:00:00 p.m.,"1,35","26,078","2,224","42,883"
13/02/2012 03:55:00 p.m.,"1,13","10,403","0,276","4,433"
15/02/2012 04:00:00 p.m.,"1,15","10,745","0,149","4,368"
22/02/2012 04:50:00 p.m.,"1,23","15,813","3,765","6,002"
24/02/2012 03:50:00 p.m.,"2,13","118,21","15,953","56,367"
29/02/2012 04:00:00 p.m.,"1,25","16,139","0,616","4,238"
02/03/2012 06:30:00 p.m.,"1,4","24,466","11,031","17,163"
05/03/2012 03:20:00 p.m.,"1,22","13,585","0,768","2,454"
09/03/2012 04:15:00 p.m.,"1,32","22,637","0,845","2,131"
12/03/2012 04:00:00 p.m.,"1,16","11,156","0,39","1,988"
16/03/2012 04:30:00 p.m.,"1,2","12,53","0,258","1,662"
19/03/2012 05:20:00 p.m.,"1,1","8,057","0,125","0,846"
23/03/2012 05:10:00 p.m.,"1,35","22,891","0,968","8,792"
27/03/2012 04:30:00 p.m.,"1,5","35,278","1,258","10,675"
04/04/2012 02:45:00 p.m.,"1,3","19,598","0,551","0,757"
10/04/2012 02:50:00 p.m.,"1,22","14,634","0,486","1,326"
19/04/2012 04:10:00 p.m.,"1,27","17,011","0,578","1,087"
23/04/2012 04:20:00 p.m.,"1,39","26,997","0,815","1,336"
16/05/2012 04:30:00 p.m.,"1,12","9,053","1,999","0,998"
21/06/2012 03:10:00 p.m.,"1,09","8,858","0,237","2,131"
12/07/2012 04:00:00 p.m.,"0,99","4,771","0,27","0,163"
13/08/2012 04:50:00 p.m.,"0,9","3,588","0,026","0,041"
14/09/2012 04:20:00 p.m.,"0,86","2,74","0,053","0,077"
11/10/2012 03:20:00 p.m.,"0,89","3,551","0,024","0,085"
19/10/2012 03:10:00 p.m.,"0,82","2,354","0,027","0,044"
06/11/2012 04:10:00 p.m.,"1,08","9,006","0,123","0,764"
16/11/2012 04:00:00 p.m.,"0,99","5,533","0,044","0,131"
23/11/2012 03:50:00 p.m.,"0,93","4,415","0,193","0,199"
27/11/2012 04:35:00 p.m.,"1,13","11,206","0,266","0,954"
04/12/2012 05:05:00 p.m.,"1,18","13,867","0,284","1,14"
10/12/2012 03:50:00 p.m.,"1,14","11,711","0,294","1,047"
13/12/2012 05:10:00 p.m.,"1,17","13,085","0,241","0,848"
14/12/2012 04:00:00 p.m.,"1,4","30,562","4,431","61,851"
17/12/2012 03:50:00 p.m.,"1,12","11,379","0,377","2,484"
19/12/2012 04:15:00 p.m.,"1,04","7,148","0,155","0,558"
26/12/2012 03:55:00 p.m.,"0,96","4,816","0,123","0,456"
28/12/2012 03:55:00 p.m.,"0,94","4,269","0,219","0,465"
03/01/2013 10:00:00 a.m.,"0,92","7,484","0,036","0,435"
08/01/2013 04:40:00 p.m.,"1,08","11,547","0,226","1,081"
11/01/2013 03:40:00 p.m.,"2,12","75,687","14,225","123,155"
14/01/2013 04:00:00 p.m.,"1,27","15,782","3,259","21,513"
18/01/2013 04:10:00 p.m.,"1,29","17,71","2,308","25,501"
22/01/2013 10:00:00 a.m.,"1,56","30,089","6,957","31,847"
24/01/2013 04:10:00 p.m.,"1,25","14,967","5,483","18,503"
28/01/2013 04:10:00 p.m.,"1,07","10,966","0,159","1,516"
01/02/2013 04:00:00 p.m.,1,"8,163","0,152","1,215"
05/02/2013 04:30:00 p.m.,"0,97","8,766","0,152","1,143"
07/02/2013 04:10:00 p.m.,"0,93","7,682","5,532","19,245"
13/02/2013 04:05:00 p.m.,"0,96","8,12","1,959","3,711"
15/02/2013 03:40:00 p.m.,"1,1","11,51","0,367","4,309"
19/02/2013 02:50:00 p.m.,"1,25","14,564","11,142","57,269"
21/02/2013 03:50:00 p.m.,"1,08","10,868","1,145","5,7"
26/02/2013 04:00:00 p.m.,"1,64","36,082","23,65","70,406"
01/03/2013 04:10:00 p.m.,"1,18","15,077","1,607","10,103"
04/03/2013 03:30:00 p.m.,"1,05","9,196","0,693","3,648"
11/03/2013 04:00:00 p.m.,"1,62","32,1","9,877","62,326"
15/03/2013 02:25:00 p.m.,"1,67","37,51","4,209","50,783"
19/03/2013 04:00:00 p.m.,"1,43","21,836","6,569","10,372"
22/03/2013 02:00:00 p.m.,"1,21","15,04","4,397","3,859"
25/03/2013 03:00:00 p.m.,"1,21","15,751","0,825","17,154"
27/03/2013 01:55:00 p.m.,"1,28","17,799","0,562","3,038"
03/04/2013 03:20:00 p.m.,"1,16","11,966","0,929","2,972"
08/04/2013 03:40:00 p.m.,"1,07","10,128","0,735","1,472"
15/04/2013 03:20:00 p.m.,"1,14","11,575","0,888","1,699"
23/04/2013 03:10:00 p.m.,1,"8,421","0,606","1,758"
06/05/2013 03:30:00 p.m.,"0,99","7,87","0,246","0,661"
06/06/2013 03:40:00 p.m.,"0,89","4,114","0,18","0,128"
03/07/2013 04:00:00 p.m.,"0,92","5,002","0,095","0,124"
05/08/2013 05:10:00 p.m.,"0,86","3,552","0,049","0,596"
05/09/2013 04:00:00 p.m.,"0,78","2,336","0,005","0,026"
03/10/2013 04:30:00 p.m.,"0,76","1,908","0,01","0,148"
28/10/2013 04:20:00 p.m.,"0,8","2,509","0,011","0,163"
08/11/2013 01:05:00 p.m.,"0,8","2,733","0,011","0,094"
18/11/2013 02:30:00 p.m.,"0,72","1,489","0,008","0,127"
26/11/2013 02:50:00 p.m.,"0,67","0,898","0,01","0,106"
28/11/2013 03:50:00 p.m.,"0,83","3,453","0,032","0,185"
03/12/2013 03:10:00 p.m.,"0,78","2,27","0,014","0,049"
06/12/2013 02:40:00 p.m.,"0,75","1,834","0,02","0,023"
09/12/2013 03:30:00 p.m.,"0,72","1,322","0,003","0,016"
13/12/2013 02:55:00 p.m.,"0,85","3,54","0,013","0,051"
19/12/2013 04:00:00 p.m.,"1,24","15,709","0,021","0,295"
23/12/2013 03:20:00 p.m.,"0,88","4,131","0,001","3,166"
27/12/2013 04:20:00 p.m.,"0,84","3,372","0,079","1,941"
30/12/2013 03:00:00 p.m.,"0,8","2,628","0,096","1,494"
03/01/2014 03:00:00 p.m.,"0,89","4,621","0,023","3,061"
06/01/2014 04:20:00 p.m.,"0,89","4,424","0,057","2,8"
10/01/2014 06:00:00 p.m.,"0,8","2,678","0,043","1,572"
13/01/2014 04:00:00 p.m.,"1,78","47,61","0,672","20,885"
17/01/2014 03:30:00 p.m.,"1,03","8,119","0,092","3,399"
22/01/2014 03:30:00 p.m.,"0,93","5,233","0,146","2,141"
24/01/2014 03:10:00 p.m.,"0,99","6,895","0,209","2,914"
27/01/2014 03:45:00 p.m.,"1,03","8,023","0,192","4,413"
03/02/2014 04:00:00 p.m.,"0,97","6,353","0,67","6,816"
06/02/2014 03:00:00 p.m.,"1,09","10,475","0,314","5,868"
10/02/2014 03:50:00 p.m.,"1,25","15,992","3,728","37,223"
14/02/2014 03:15:00 p.m.,"1,23","15,418","0,432","7,754"
17/02/2014 03:50:00 p.m.,"2,25","66,966","3,914","54,616"
20/02/2014 03:30:00 p.m.,"1,54","29,195","2,83","29,043"
25/02/2014 03:10:00 p.m.,"1,6","34,186","25,956","32,507"
28/02/2014 12:40:00 p.m.,"1,63","31,463","29,664","30,819"
05/03/2014 03:30:00 p.m.,"1,43","23,219","2,628","6,409"
10/03/2014 03:50:00 p.m.,"1,18","13,105","1,135","2,449"
11/03/2014 04:05:00 p.m.,"1,16","12,45","1,008","2,308"
17/03/2014 04:30:00 p.m.,"1,17","12,797","1,623","3,708"
18/03/2014 04:30:00 p.m.,"2,28","83,163","10,894","44,723"
26/03/2014 03:50:00 p.m.,"1,1","10,218","0,772","1,917"
28/03/2014 04:25:00 p.m.,"1,18","13,173","1,242","2,623"
31/03/2014 03:50:00 p.m.,"1,42","25,684","2,318","7,165"
08/04/2014 02:10:00 p.m.,"1,61","33,882","5,702","10,687"
16/04/2014 03:50:00 p.m.,"1,24","16,148","0,919","1,966"
21/04/2014 03:40:00 p.m.,"1,14","12,119","1,724","4,381"
24/04/2014 10:30:00 a.m.,"1,46","28,83","1,496","4,161"
05/05/2014 04:00:00 p.m.,"1,22","16,665","2,24","2,095"
03/06/2014 11:05:00 a.m.,"1,14","13,546","0,217","0,678"
10/07/2014 04:40:00 p.m.,"0,96","12,732","1,552","0,286"
04/08/2014 04:30:00 p.m.,"0,9","8,627","0,122","0,338"
09/09/2014 06:20:00 p.m.,"0,84","5,315","0,032","0,324"
03/10/2014 04:30:00 p.m.,"0,84","4,848","0,045","0,631"
21/10/2014 10:20:00 a.m.,"0,82","3,723","0,04","0,133"
05/11/2014 10:30:00 a.m.,"0,89","6,715","0,13","0,426"
14/11/2014 11:05:00 a.m.,"0,84","4,915","0,012","0,297"
25/11/2014 10:30:00 a.m.,"0,87","6,546","0,263","0,534"
28/11/2014 10:35:00 a.m.,"0,85","5,683","0,265","0,462"
02/12/2014 10:20:00 a.m.,"0,83","4,958","0,148","0,407"
05/12/2014 04:00:00 p.m.,"0,81","3,248","0,117","0,32"
09/12/2014 10:30:00 a.m.,"1,03","12,371","0,846","20,135"
12/12/2014 10:40:00 a.m.,"0,96","9,78","0,141","2,265"
15/12/2014 05:20:00 p.m.,"1,83","75,761","27,203","76,866"
19/12/2014 10:50:00 a.m.,"1,4","44,738","4,723","10,242"
22/12/2014 10:50:00 a.m.,"1,2","30,354","4,943","4,637"
29/12/2014 10:45:00 a.m.,"1,21","28,97","1,512","7,266"
02/01/2015 05:10:00 p.m.,"1,76","75,669","12,617","30,077"
05/01/2015 11:30:00 a.m.,"1,07","19,723","0,212","2,695"
09/01/2015 10:50:00 a.m.,"1,04","16,168","0,728","2,283"
12/01/2015 10:40:00 a.m.,"1,36","38,484","1,936","41,575"
14/01/2015 10:25:00 a.m.,"1,02","16,104","0,358","1,738"
21/01/2015 10:35:00 a.m.,"1,97","98,31","55,731","213,02"
